"Value","Qty","URL","url"
                        "18p","2","",""
                        "100n","6","https://www.digikey.com/product-detail/en/yageo/CC0603KRX7R7BB104/311-1088-1-ND/302998",""
                        "100n","5","",""
                        "4.7uH","1","https://www.digikey.com/en/products/detail/murata-electronics/LQM2HPN4R7MG0L/1893673",""
                        "100","1","https://www.digikey.com/en/products/detail/yageo/AC0603JR-07100RL/5896356",""
                        "1k","4","https://www.digikey.com/en/products/detail/yageo/RC0603JR-131KL/13694162",""
                        "2k","83","https://www.digikey.com/en/products/detail/yageo/AC0603JR-072K2L/5896418",""
                        "10k","3","https://www.digikey.com/product-detail/en/yageo/RC0603JR-072K2L/311-2.2KGRCT-ND/729676",""
                        "10k","2","https://www.digikey.com/en/products/detail/yageo/RC0603JR-1010KL/13694233",""
                        "100k","2","",""
"+","1","",""
"-","1","",""
                        "1N5819","2","https://www.digikey.com/en/products/detail/stmicroelectronics/1N5819/1037326",""
                        "2u2","2","",""
                        "4u7","16","https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL10B475KQ8NQNC/1276-2087-1-ND/3890173",""
                        "74HC165","4","https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LV165D-118/1231120",""
                        "BM71BLES1FC2-0B02AA","1","https://www.digikey.com/en/products/detail/microchip-technology/BM71BLES1FC2-0B02AA/7164757?s=N4IgTCBcDaIEIFkDsBGOAZAogZRQMQGEwBaABjlLAEEqQBdAXyA",""
"bm_cfg","1","",""
                        "Crystal","1","https://www.digikey.com/en/products/detail/yic/8M20P2-49US/15648614",""
"gnd","1","",""
"LED","4","",""
                        "left hand 0","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "left hand 1","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "left hand 2","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "left hand 3","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "left leg 0","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "left leg 1","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "MCP111","1","https://www.digikey.com/en/products/detail/microchip-technology/MCP111T-315E-TT/716028",""
                        "MCP1603","1","https://www.digikey.com/en/products/detail/microchip-technology/MCP1603T-330I-OS/1098431",""
                        "MCP73812","1","https://www.digikey.com/en/products/detail/microchip-technology/MCP73812T-420I-OT/1626618?s=N4IgTCBcDaILYGMAOB2AzADgIxgC4gF0BfIA",""
                        "MY_USB_B","1","https://www.digikey.com/en/products/detail/on-shore-technology-inc/USB-B1HSB6/2677744",""
                        "right hand 0","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "right hand 1","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "right hand 2","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "right hand 3","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "right lef 0","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "right leg 1","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
"rst","1","",""
"rx","1","",""
"stm_boot","1","",""
"swd","1","",""
                        "TCA9548A_TSSOP","2","https://www.digikey.com/product-detail/en/texas-instruments/TCA9548APWR/296-34905-1-ND/3615448",""
                        "torso 0","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "torso 1","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "torso 2","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
                        "torso 3","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/A-MJH-8-EA-GTP-W4/20522480",""
"tx","1","",""
"uart1","1","",""
"Vdd","1","",""
                       "~","1","https://www.digikey.com/en/products/detail/stmicroelectronics/stm32f405rgt6/2754208",""
